path_id,link_id,number_of_slices
1124,70,22
407,106,8
8,74,12
8,81,12
8,103,12
8,114,12
1116,70,22
463,74,22
463,75,22
463,79,22
463,90,22
463,93,22
463,103,22
463,129,22
64,3,4
64,83,4
64,86,4
64,88,4
64,106,4
64,131,4
399,106,16
0,31,18
0,73,18
0,76,18
1,3,20
1,77,20
1,83,20
1,85,20
1,106,20
944,4,10
393,106,22
2,31,14
2,73,14
2,76,14
3,34,14
3,35,14
3,75,14
3,77,14
3,85,14
3,86,14
387,2,14
387,25,14
387,74,14
4,31,8
4,73,8
4,76,8
5,3,24
5,77,24
5,83,24
5,85,24
5,106,24
948,4,4
397,5,14
397,6,14
397,7,14
397,8,14
397,107,14
397,109,14
6,31,16
6,73,16
6,76,16
7,34,4
7,35,4
7,75,4
7,77,4
7,85,4
7,86,4
9,22,12
9,24,12
9,27,12
9,79,12
9,102,12
9,106,12
9,108,12
9,115,12
9,116,12
952,4,4
1126,70,18
401,2,20
401,25,20
401,74,20
10,74,8
10,79,8
10,103,8
11,75,22
11,82,22
11,87,22
11,93,22
11,128,22
11,129,22
395,74,20
395,108,20
12,74,6
12,79,6
12,103,6
13,75,12
13,82,12
13,87,12
13,93,12
13,128,12
13,129,12
956,2,18
956,25,18
405,106,24
14,75,22
14,82,22
14,87,22
14,93,22
14,128,22
14,129,22
15,4,18
15,79,18
15,103,18
15,106,18
1132,70,20
415,106,8
16,22,6
16,24,6
16,27,6
16,81,6
16,102,6
16,106,6
16,108,6
16,114,6
16,115,6
16,116,6
17,74,16
17,79,16
17,103,16
896,36,20
1134,70,10
409,106,16
18,31,6
18,73,6
18,76,6
18,77,6
18,85,6
19,3,14
19,83,14
19,106,14
403,106,18
20,31,6
20,73,6
20,76,6
20,77,6
20,85,6
21,34,20
21,35,20
21,75,20
21,86,20
900,36,10
413,106,16
22,3,4
22,83,4
22,106,4
23,31,22
23,73,22
23,76,22
23,77,22
23,85,22
1140,71,6
487,81,4
487,114,4
24,3,10
24,5,10
24,6,10
24,7,10
24,8,10
24,83,10
24,107,10
24,109,10
25,4,10
25,79,10
25,82,10
25,86,10
25,87,10
25,88,10
25,103,10
25,106,10
25,128,10
25,131,10
904,36,10
1142,71,4
481,81,20
481,114,20
26,34,4
26,35,4
26,75,4
26,86,4
27,3,20
27,5,20
27,6,20
27,7,20
27,8,20
27,83,20
27,107,20
27,109,20
1024,3,22
1024,43,22
1024,83,22
1024,84,22
1024,99,22
1024,104,22
1024,105,22
411,4,24
411,74,24
28,3,18
28,83,18
28,106,18
29,34,24
29,35,24
29,75,24
29,86,24
908,33,20
485,81,8
485,114,8
30,31,20
30,73,20
30,76,20
30,77,20
30,85,20
31,3,12
31,4,12
31,74,12
31,83,12
431,3,14
431,31,14
431,73,14
431,76,14
431,83,14
431,106,14
32,3,18
32,83,18
32,106,18
33,31,16
33,73,16
33,76,16
33,77,16
33,85,16
848,74,10
848,75,10
848,92,10
848,93,10
848,101,10
848,129,10
848,132,10
1086,4,8
1086,30,8
1086,57,8
1086,73,8
1086,74,8
1086,121,8
425,3,18
425,31,18
425,73,18
425,76,18
425,83,18
425,106,18
728,79,6
728,82,6
728,87,6
728,90,6
728,103,6
728,108,6
728,128,6
34,3,12
34,83,12
34,106,12
35,31,6
35,73,6
35,76,6
35,77,6
35,85,6
419,106,12
36,3,20
36,83,20
36,106,20
37,31,4
37,73,4
37,76,4
37,77,4
37,85,4
852,3,8
852,4,8
852,83,8
852,84,8
852,99,8
852,104,8
852,105,8
732,79,10
732,82,10
732,87,10
732,90,10
732,103,10
732,108,10
732,128,10
38,3,14
38,83,14
38,106,14
39,31,24
39,73,24
39,76,24
39,77,24
39,85,24
1028,3,18
1028,43,18
1028,83,18
1028,84,18
1028,99,18
1028,104,18
1028,105,18
439,31,18
439,73,18
439,74,18
439,76,18
439,79,18
439,82,18
439,86,18
439,87,18
439,88,18
439,103,18
439,128,18
439,131,18
40,3,12
40,83,12
40,106,12
41,34,10
41,35,10
41,75,10
41,86,10
856,74,12
856,75,12
856,92,12
856,93,12
856,101,12
856,129,12
856,132,12
1030,55,24
1030,56,24
1030,58,24
1030,79,24
1030,82,24
1030,87,24
1030,91,24
1030,96,24
1030,97,24
1030,103,24
1030,108,24
1030,125,24
1030,128,24
433,31,12
433,73,12
433,74,12
433,76,12
433,79,12
433,82,12
433,86,12
433,87,12
433,88,12
433,103,12
433,128,12
433,131,12
42,3,4
42,83,4
42,106,4
43,31,6
43,73,6
43,76,6
43,77,6
43,85,6
427,31,8
427,73,8
427,74,8
427,76,8
427,79,8
427,82,8
427,86,8
427,87,8
427,88,8
427,103,8
427,128,8
427,131,8
45,3,4
45,14,4
45,106,4
860,51,18
860,101,18
437,3,12
437,31,12
437,73,12
437,76,12
437,83,12
437,106,12
46,3,16
46,14,16
46,106,16
447,3,8
447,77,8
447,83,8
447,85,8
447,108,8
49,3,10
49,14,10
49,106,10
928,73,20
928,74,20
441,31,8
441,34,8
441,35,8
441,73,8
441,75,8
441,76,8
441,86,8
51,3,22
51,14,22
51,106,22
435,3,16
435,31,16
435,73,16
435,76,16
435,83,16
435,106,16
53,3,22
53,14,22
53,106,22
445,31,4
445,73,4
445,74,4
445,76,4
54,3,20
54,14,20
54,106,20
391,106,24
56,74,24
56,79,24
56,82,24
56,87,24
56,103,24
56,128,24
57,75,6
57,93,6
57,129,6
936,3,16
936,4,16
936,30,16
936,59,16
936,76,16
936,77,16
936,83,16
936,85,16
936,119,16
936,122,16
385,5,8
385,6,8
385,7,8
385,8,8
385,107,8
385,109,8
58,74,24
58,79,24
58,82,24
58,87,24
58,103,24
58,128,24
59,3,6
59,83,6
59,86,6
59,88,6
59,106,6
59,131,6
443,4,22
443,35,22
443,36,22
443,75,22
443,77,22
443,85,22
443,86,22
443,106,22
443,129,22
60,75,4
60,93,4
60,129,4
61,74,8
61,79,8
61,82,8
61,87,8
61,103,8
61,128,8
940,60,4
940,79,4
940,82,4
940,103,4
940,128,4
389,106,24
62,74,14
62,79,14
62,82,14
62,87,14
62,103,14
62,128,14
63,75,8
63,93,8
63,129,8
65,75,18
65,93,18
65,129,18
1008,58,18
1008,95,18
1008,96,18
1008,125,18
1118,70,22
457,4,12
457,75,12
457,79,12
457,89,12
457,93,12
457,103,12
457,106,12
457,129,12
66,4,4
66,23,4
66,106,4
67,26,6
67,27,6
67,61,6
67,62,6
67,74,6
67,102,6
67,103,6
67,117,6
67,126,6
67,127,6
451,3,4
451,4,4
451,77,4
451,83,4
451,85,4
68,23,6
68,74,6
69,4,14
69,26,14
69,27,14
69,61,14
69,62,14
69,102,14
69,103,14
69,106,14
69,117,14
69,126,14
69,127,14
1012,58,16
1012,95,16
1012,96,16
1012,125,16
461,4,4
461,75,4
461,81,4
461,89,4
461,93,4
461,103,4
461,106,4
461,114,4
461,129,4
70,26,10
70,27,10
70,61,10
70,62,10
70,75,10
70,79,10
70,82,10
70,87,10
70,93,10
70,102,10
70,117,10
70,126,10
70,127,10
70,128,10
70,129,10
71,4,10
71,23,10
71,106,10
471,22,16
471,24,16
471,79,16
471,102,16
471,103,16
471,115,16
471,116,16
72,23,14
72,106,14
72,108,14
73,26,18
73,27,18
73,61,18
73,62,18
73,74,18
73,102,18
73,103,18
73,117,18
73,126,18
73,127,18
1190,2,6
1190,5,6
1190,6,6
1190,7,6
1190,8,6
1190,25,6
1190,107,6
1190,109,6
465,22,6
465,24,6
465,81,6
465,102,6
465,103,6
465,114,6
465,115,6
465,116,6
74,2,8
74,5,8
74,6,8
74,7,8
74,8,8
74,22,8
74,24,8
74,25,8
74,26,8
74,61,8
74,62,8
74,107,8
74,109,8
74,115,8
74,116,8
74,117,8
74,126,8
74,127,8
76,2,12
76,5,12
76,6,12
76,7,12
76,8,12
76,22,12
76,24,12
76,25,12
76,26,12
76,61,12
76,62,12
76,107,12
76,109,12
76,115,12
76,116,12
76,117,12
76,126,12
76,127,12
1020,3,10
1020,43,10
1020,83,10
1020,84,10
1020,99,10
1020,104,10
1020,105,10
469,22,14
469,24,14
469,81,14
469,102,14
469,103,14
469,114,14
469,115,14
469,116,14
78,75,16
78,89,16
78,93,16
78,129,16
79,40,16
79,60,16
79,74,16
79,79,16
79,82,16
79,103,16
79,128,16
479,81,24
479,114,24
80,75,14
80,89,14
80,93,14
80,129,14
801,50,18
801,79,18
801,82,18
801,87,18
801,92,18
801,95,18
801,103,18
801,128,18
81,40,10
81,60,10
81,74,10
81,79,10
81,82,10
81,103,10
81,128,10
960,2,24
960,25,24
473,22,14
473,24,14
473,81,14
473,102,14
473,103,14
473,114,14
473,115,14
473,116,14
82,75,24
82,89,24
82,93,24
82,129,24
83,40,12
83,60,12
83,74,12
83,79,12
83,82,12
83,103,12
83,128,12
467,22,24
467,24,24
467,81,24
467,102,24
467,103,24
467,114,24
467,115,24
467,116,24
84,75,14
84,89,14
84,93,14
84,129,14
805,50,20
805,91,20
805,92,20
805,97,20
85,40,22
85,60,22
85,74,22
85,79,22
85,82,22
85,103,22
85,128,22
964,108,4
477,81,10
477,114,10
86,75,18
86,89,18
86,93,18
86,129,18
87,40,10
87,60,10
87,74,10
87,79,10
87,82,10
87,103,10
87,128,10
88,75,4
88,89,4
88,93,4
88,129,4
809,50,16
809,91,16
809,92,16
809,97,16
89,40,24
89,60,24
89,74,24
89,79,24
89,82,24
89,103,24
89,128,24
968,4,8
90,75,14
90,89,14
90,93,14
90,129,14
91,40,18
91,60,18
91,74,18
91,79,18
91,82,18
91,103,18
91,128,18
475,22,22
475,24,22
475,79,22
475,102,22
475,103,22
475,115,22
475,116,22
92,75,10
92,89,10
92,93,10
92,129,10
813,50,4
813,91,4
813,92,4
813,97,4
93,40,20
93,60,20
93,74,20
93,79,20
93,82,20
93,103,20
93,128,20
972,4,8
94,75,6
94,89,6
94,93,6
94,129,6
95,40,4
95,60,4
95,74,4
95,79,4
95,82,4
95,103,4
95,128,4
1148,71,10
495,4,6
495,79,6
495,103,6
96,40,16
96,60,16
96,74,16
96,79,16
96,82,16
96,103,16
96,128,16
97,75,20
97,90,20
97,93,20
97,129,20
912,33,20
1150,71,18
489,3,6
489,82,6
489,83,6
489,86,6
489,87,6
489,88,6
489,128,6
489,131,6
98,75,24
98,89,24
98,93,24
98,129,24
483,81,16
483,114,16
100,75,10
100,89,10
100,93,10
100,129,10
101,40,12
101,60,12
101,74,12
101,79,12
101,82,12
101,103,12
101,128,12
916,33,16
493,4,4
493,79,4
493,103,4
102,75,22
102,89,22
102,93,22
102,129,22
103,40,24
103,60,24
103,74,24
103,79,24
103,82,24
103,103,24
103,128,24
104,75,22
104,89,22
104,93,22
104,129,22
106,31,6
106,73,6
106,76,6
106,77,6
106,85,6
106,86,6
106,88,6
106,89,6
106,131,6
107,40,20
107,60,20
107,75,20
107,87,20
107,93,20
107,129,20
108,75,14
108,89,14
108,93,14
108,129,14
924,3,20
924,34,20
924,65,20
924,83,20
924,86,20
924,131,20
110,75,8
110,89,8
110,93,8
110,129,8
511,14,6
511,83,6
112,75,14
112,89,14
112,93,14
112,129,14
992,4,18
114,75,18
114,89,18
114,93,18
114,129,18
116,75,12
116,89,12
116,93,12
116,129,12
996,4,12
118,75,10
118,89,10
118,93,10
118,129,10
1108,67,10
120,75,14
120,89,14
120,93,14
120,129,14
1000,2,16
1000,25,16
1110,67,12
449,3,10
449,4,10
449,77,10
449,83,10
449,85,10
123,75,4
123,89,4
123,93,4
123,129,4
507,2,4
507,25,4
507,79,4
507,103,4
1004,58,12
1004,95,12
1004,96,12
1004,125,12
128,31,18
128,73,18
314,5,8
314,6,8
314,7,8
314,8,8
314,107,8
314,109,8
130,31,10
130,73,10
1207,3,12
1207,57,12
1207,76,12
1207,77,12
1207,83,12
1207,85,12
1207,108,12
1207,119,12
1207,121,12
1207,122,12
260,57,16
260,73,16
260,120,16
260,121,16
132,31,16
132,73,16
793,22,24
793,24,24
793,102,24
793,108,24
793,115,24
793,116,24
137,31,4
137,73,4
268,30,20
268,57,20
268,73,20
268,121,20
139,31,16
139,73,16
1201,2,12
1201,3,12
1201,25,12
1201,57,12
1201,76,12
1201,77,12
1201,83,12
1201,85,12
1201,119,12
1201,121,12
1201,122,12
262,57,22
262,73,22
262,120,22
262,121,22
142,31,24
142,73,24
142,76,24
142,77,24
142,84,24
142,85,24
142,99,24
142,104,24
142,105,24
144,31,24
144,73,24
144,76,24
144,77,24
144,84,24
144,85,24
144,99,24
144,104,24
144,105,24
865,95,20
865,98,20
865,100,20
266,30,10
266,57,10
266,73,10
266,121,10
1159,70,24
1159,72,24
276,30,8
276,57,8
276,73,8
276,121,8
148,31,24
148,73,24
148,76,24
148,77,24
148,84,24
148,85,24
148,99,24
148,104,24
148,105,24
869,95,20
869,98,20
869,100,20
270,30,12
270,57,12
270,73,12
270,121,12
152,31,14
152,73,14
152,76,14
152,77,14
152,84,14
152,85,14
152,99,14
152,104,14
152,105,14
873,95,20
873,98,20
873,100,20
274,30,8
274,57,8
274,73,8
274,121,8
154,31,6
154,73,6
154,76,6
154,77,6
154,84,6
154,85,6
154,99,6
154,104,6
154,105,6
284,6,14
284,8,14
284,107,14
877,95,14
877,98,14
877,100,14
1153,70,10
1153,72,10
278,6,8
278,8,8
278,107,8
272,30,24
272,57,24
272,73,24
272,121,24
160,31,6
160,73,6
160,76,6
160,77,6
160,84,6
160,85,6
160,99,6
160,104,6
160,105,6
817,54,20
817,91,20
817,92,20
817,97,20
817,123,20
817,124,20
976,2,24
976,25,24
1111,68,4
292,5,24
292,6,24
292,7,24
292,8,24
292,107,24
292,109,24
164,31,10
164,73,10
164,76,10
164,77,10
164,84,10
164,85,10
164,99,10
164,104,10
164,105,10
821,54,20
821,91,20
821,92,20
821,97,20
821,123,20
821,124,20
980,4,10
825,54,10
825,91,10
825,92,10
825,97,10
825,123,10
825,124,10
290,5,6
290,6,6
290,7,6
290,8,6
290,107,6
290,109,6
984,4,24
1119,71,22
1119,72,22
172,31,8
172,73,8
172,76,8
172,77,8
172,84,8
172,85,8
172,99,8
172,104,8
172,105,8
1105,68,14
988,108,20
174,31,6
174,73,6
174,76,6
174,77,6
174,84,6
174,85,6
174,99,6
174,104,6
174,105,6
288,6,8
288,8,8
288,107,8
176,31,6
176,73,6
176,76,6
176,77,6
176,84,6
176,85,6
176,99,6
176,104,6
176,105,6
298,5,16
298,6,16
298,7,16
298,8,16
298,107,16
298,109,16
178,31,4
178,73,4
178,76,4
178,77,4
178,84,4
178,85,4
178,99,4
178,104,4
178,105,4
1113,68,6
181,3,4
181,5,4
181,6,4
181,7,4
181,8,4
181,83,4
181,84,4
181,99,4
181,104,4
181,105,4
181,107,4
181,109,4
296,5,4
296,6,4
296,7,4
296,8,4
296,107,4
296,109,4
306,5,6
306,6,6
306,7,6
306,8,6
306,107,6
306,109,6
316,5,6
316,6,6
316,7,6
316,8,6
316,107,6
316,109,6
188,31,10
188,73,10
188,76,10
188,77,10
188,84,10
188,85,10
188,99,10
188,104,10
188,105,10
781,22,14
781,24,14
781,102,14
781,108,14
781,115,14
781,116,14
304,5,20
304,6,20
304,7,20
304,8,20
304,107,20
304,109,20
861,95,8
861,98,8
861,100,8
326,5,22
326,6,22
326,7,22
326,8,22
326,107,22
326,109,22
210,4,4
210,5,4
210,6,4
210,7,4
210,8,4
210,107,4
210,109,4
1223,84,4
1223,89,4
1223,91,4
1223,97,4
1223,98,4
1223,99,4
1223,100,4
1223,104,4
1223,105,4
340,5,18
340,6,18
340,7,18
340,8,18
340,107,18
340,109,18
549,86,12
549,88,12
549,92,12
549,101,12
549,131,12
549,132,12
214,2,4
214,5,4
214,6,4
214,7,4
214,8,4
214,25,4
214,107,4
214,109,4
216,4,10
216,5,10
216,6,10
216,7,10
216,8,10
216,107,10
216,109,10
338,5,10
338,6,10
338,7,10
338,8,10
338,107,10
338,109,10
557,86,14
557,88,14
557,92,14
557,101,14
557,131,14
557,132,14
220,5,4
220,6,4
220,7,4
220,8,4
220,107,4
220,108,4
220,109,4
342,5,14
342,6,14
342,7,14
342,8,14
342,107,14
342,109,14
336,5,22
336,6,22
336,7,22
336,8,22
336,107,22
336,109,22
545,86,22
545,88,22
545,92,22
545,101,22
545,131,22
545,132,22
224,5,14
224,6,14
224,7,14
224,8,14
224,107,14
224,108,14
224,109,14
881,95,6
881,98,6
881,100,6
282,6,14
282,8,14
282,107,14
226,5,10
226,6,10
226,7,10
226,8,10
226,107,10
226,108,10
226,109,10
356,5,12
356,6,12
356,7,12
356,8,12
356,107,12
356,109,12
1161,70,24
1161,72,24
286,6,14
286,8,14
286,107,14
280,6,4
280,8,4
280,107,4
354,5,22
354,6,22
354,7,22
354,8,22
354,107,22
354,109,22
236,5,24
236,6,24
236,7,24
236,8,24
236,107,24
236,108,24
236,109,24
358,5,16
358,6,16
358,7,16
358,8,16
358,107,16
358,109,16
238,5,24
238,6,24
238,7,24
238,8,24
238,107,24
238,108,24
238,109,24
352,5,8
352,6,8
352,7,8
352,8,8
352,107,8
352,109,8
240,2,18
240,5,18
240,6,18
240,7,18
240,8,18
240,25,18
240,107,18
240,109,18
244,5,16
244,6,16
244,7,16
244,8,16
244,107,16
244,108,16
244,109,16
366,5,16
366,6,16
366,7,16
366,8,16
366,107,16
366,109,16
360,5,24
360,6,24
360,7,24
360,8,24
360,107,24
360,109,24
370,5,6
370,6,6
370,7,6
370,8,6
370,107,6
370,109,6
688,40,18
688,64,18
688,95,18
688,97,18
692,51,20
692,84,20
692,86,20
692,88,20
692,89,20
692,99,20
692,101,20
692,104,20
692,105,20
692,131,20
696,50,4
696,90,4
696,92,4
700,50,18
700,90,18
700,92,18
640,90,24
640,92,24
640,101,24
640,132,24
644,39,18
644,48,18
648,39,6
648,48,6
652,39,20
652,48,20
596,40,22
596,64,22
596,97,22
600,89,4
600,91,4
600,97,4
604,89,16
604,91,16
604,97,16
752,22,12
752,24,12
752,102,12
752,115,12
752,116,12
756,22,16
756,24,16
756,102,16
756,115,16
756,116,16
764,22,10
764,24,10
764,102,10
764,108,10
764,115,10
764,116,10
1062,60,18
704,40,20
704,64,20
704,95,20
704,97,20
708,50,10
708,90,10
708,92,10
1060,60,8
553,86,18
553,88,18
553,92,18
553,101,18
553,131,18
553,132,18
1070,2,8
1070,23,8
1070,25,8
1070,61,8
1070,126,8
1070,127,8
712,88,20
712,89,20
716,40,8
716,66,8
716,93,8
716,94,8
740,22,10
740,24,10
740,102,10
740,115,10
740,116,10
744,22,8
744,24,8
744,102,8
744,115,8
744,116,8
748,22,8
748,24,8
748,102,8
748,115,8
748,116,8
537,86,8
537,88,8
537,92,8
537,101,8
537,131,8
537,132,8
541,86,18
541,88,18
541,92,18
541,101,18
541,131,18
541,132,18
609,90,6
609,92,6
609,101,6
609,132,6
613,40,22
613,64,22
613,97,22
613,98,22
613,100,22
617,89,4
617,92,4
617,101,4
617,132,4
621,40,4
621,64,4
621,97,4
621,98,4
621,100,4
720,88,6
720,90,6
422,77,18
422,85,18
424,77,10
424,85,10
426,77,10
426,85,10
428,77,12
428,85,12
430,77,8
430,85,8
432,77,4
432,85,4
434,77,18
434,85,18
436,77,16
436,85,16
438,77,20
438,85,20
440,77,12
440,85,12
521,84,20
521,90,20
521,91,20
521,97,20
521,98,20
521,99,20
521,100,20
521,104,20
521,105,20
525,84,22
525,90,22
525,91,22
525,97,22
525,98,22
525,99,22
525,100,22
525,104,22
525,105,22
452,82,20
452,87,20
452,89,20
452,128,20
597,50,24
597,90,24
597,92,24
597,95,24
454,82,14
454,87,14
454,89,14
454,128,14
456,40,14
456,60,14
456,82,14
456,128,14
601,50,18
601,90,18
601,92,18
601,95,18
458,60,10
458,64,10
458,82,10
458,89,10
458,91,10
458,128,10
460,60,22
460,64,22
460,82,22
460,90,22
460,91,22
460,128,22
605,50,6
605,90,6
605,92,6
605,95,6
462,82,14
462,87,14
462,89,14
462,128,14
470,27,20
470,81,20
470,114,20
474,27,22
474,81,22
474,114,22
625,40,20
625,64,20
625,97,20
625,98,20
625,100,20
629,89,18
629,92,18
629,101,18
629,132,18
633,90,16
633,91,16
633,97,16
633,98,16
633,100,16
