ID,Source_ID,Destination_ID
0,43,18
1,12,11
2,12,51
3,25,52
4,25,6
5,10,56
6,27,10
7,48,29
8,48,56
9,55,1
10,37,39
11,37,24
12,53,41
13,3,8
14,8,18
15,47,23
16,47,28
17,41,30
18,41,44
19,49,4
20,26,16
21,26,29
22,30,54
23,19,2
24,19,51
25,34,2
26,34,15
27,34,29
28,13,51
29,51,35
30,50,23
31,38,5
32,31,57
33,57,45
34,20,42
35,24,14
37,9,28
38,28,7
39,32,22
40,22,33
41,22,35
42,45,52
43,18,33
44,43,36
45,43,54
46,43,57
47,11,30
48,40,53
49,40,46
50,6,32
51,27,35
52,48,2
53,17,49
54,17,13
55,17,44
56,53,36
57,53,9
58,21,47
60,3,32
61,8,51
62,46,36
63,46,31
64,46,57
65,49,26
66,54,2
67,30,15
68,54,51
69,13,15
70,23,5
71,50,31
72,44,28
74,42,29
75,45,18
76,12,54
77,40,7
78,48,14
79,55,39
80,55,42
81,3,30
82,4,16
83,16,20
84,30,34
85,19,15
86,2,13
87,50,38
88,24,56
89,52,33
90,11,2
91,40,38
92,25,27
93,1,37
94,1,14
95,39,14
96,54,19
97,6,10
98,35,56
